,accuracy,accuracy_std,complexity,epsilon,eqOpTrue,eqOpFalse,accTrue,accFalse,ip,eps_test,acc_diff
0,0.8149333333333333,0.011384980359130102,10.0,0.01,0.30545467684016037,0.29771030542617216,0.7983364845140557,0.825811150169411,4999.0,0.007744371413988205,0.02747466565535528
1,0.8148333333333333,0.011459348439883782,15.0,0.01,0.30441661455642327,0.2968676087969586,0.7982533589945213,0.8257010059538776,4998.3,0.007549005759464655,0.02744764695935631
2,0.8148333333333333,0.011468071619355489,20.0,0.01,0.30441661455642327,0.29714385189088127,0.7981714589126212,0.8257567162602844,4997.9,0.007272762665541999,0.02758525734766315
3,0.8149333333333333,0.011384980359130102,10.0,0.05,0.30649273912389735,0.29771030542617216,0.7983364845140557,0.825811150169411,4992.8,0.00878243369772519,0.02747466565535528
4,0.8149,0.01136275592548844,15.0,0.05,0.30545467684016037,0.29771030542617216,0.7983364845140557,0.8257566542566044,4992.5,0.007744371413988205,0.027420169742548683
5,0.8149,0.011371553201837584,20.0,0.05,0.30545467684016037,0.29798654852009476,0.7982545844321558,0.8258123645630111,4992.2,0.0074681283200656035,0.027557780130855303
6,0.8149333333333333,0.011384980359130102,10.0,0.1,0.30649273912389735,0.29771030542617216,0.7983364845140557,0.825811150169411,4992.8,0.00878243369772519,0.02747466565535528
7,0.8149,0.01136275592548844,15.0,0.1,0.30545467684016037,0.29771030542617216,0.7983364845140557,0.8257566542566044,4992.5,0.007744371413988205,0.027420169742548683
8,0.8149,0.011371553201837584,20.0,0.1,0.30545467684016037,0.29798654852009476,0.7982545844321558,0.8258123645630111,4992.2,0.0074681283200656035,0.027557780130855303
9,0.8149333333333333,0.011384980359130102,10.0,0.5,0.30649273912389735,0.29771030542617216,0.7983364845140557,0.825811150169411,4992.8,0.00878243369772519,0.02747466565535528
10,0.8149,0.01136275592548844,15.0,0.5,0.30545467684016037,0.29771030542617216,0.7983364845140557,0.8257566542566044,4992.5,0.007744371413988205,0.027420169742548683
11,0.8149,0.011371553201837584,20.0,0.5,0.30545467684016037,0.29798654852009476,0.7982545844321558,0.8258123645630111,4992.2,0.0074681283200656035,0.027557780130855303
12,0.8128333333333334,0.015160804727981954,10.0,0.0,0.28079762614843445,0.2734138587305708,0.7951551839966026,0.8243960576218645,5135.5,0.007383767417863674,0.029240873625261954
13,0.8139,0.01261749226713102,15.0,0.0,0.3069045370893237,0.298027965162859,0.797564205279917,0.8246104756980284,5127.3,0.008876571926464683,0.027046270418111362
14,0.8141666666666667,0.012516877494895537,20.0,0.0,0.31035758771898136,0.30059852651827673,0.7979884690244925,0.824775131510445,5100.8,0.009759061200704633,0.026786662485952517
15,0.8149333333333333,0.011384980359130102,10.0,1.0,0.30545467684016037,0.29771030542617216,0.7983364845140557,0.825811150169411,4992.8,0.007744371413988205,0.02747466565535528
16,0.8149,0.01136275592548844,15.0,1.0,0.30545467684016037,0.29771030542617216,0.7983364845140557,0.8257566542566044,4992.5,0.007744371413988205,0.027420169742548683
17,0.8149,0.011371553201837584,20.0,1.0,0.30545467684016037,0.29798654852009476,0.7982545844321558,0.8258123645630111,4992.2,0.0074681283200656035,0.027557780130855303
