,accuracy,accuracy_std,complexity,epsilon,eqOpTrue,eqOpFalse,accTrue,accFalse,ip,eps_test,acc_diff
0,0.6583875999079984,0.02280429910375984,10.0,0.01,0.4481232146126075,0.5769220706814265,0.6719733843229407,0.6498771022846936,1759.3,0.12879885606881902,0.022096282038247095
1,0.6629362888850554,0.016480696636629648,15.0,0.01,0.5109294420544436,0.5960679020950886,0.675740846260781,0.6542103009572078,1702.7,0.08513846004064507,0.021530545303573234
2,0.669947458455523,0.015916924305314523,20.0,0.01,0.5254881695126664,0.6199767153844761,0.6772365659474027,0.6651634722530925,1679.4,0.09448854587180966,0.0120730936943102
3,0.6637006928871255,0.02571535300332849,30.0,0.01,0.5536766367255238,0.6208850146617997,0.6564381306045587,0.6685301399932685,1677.3,0.06720837793627588,0.012092009388709801
4,0.6612374935311368,0.016596902483940735,5.0,0.01,0.3686703320253147,0.592150161062168,0.6795023502588897,0.6491251109541178,1894.8,0.22347982903685332,0.030377239304771875
5,0.643804266574665,0.01694721105798414,10.0,0.02,0.5061602237934941,0.5933984826039688,0.6401736417621925,0.6460116098379778,1751.3,0.08723825881047464,0.005837968075785294
6,0.6587721378874131,0.015148079248148299,15.0,0.02,0.5306590148327969,0.6124229544625446,0.66170839275405,0.6562906553987096,1697.5,0.0817639396297477,0.005417737355340457
7,0.6710838220918867,0.017725369862261003,20.0,0.02,0.5222418197145925,0.6259202104330758,0.6733539416031059,0.6694894264303455,1672.3,0.10367839071848328,0.00386451517276043
8,0.6663522080386406,0.018144197024558762,30.0,0.02,0.5504302869274499,0.6289395422029271,0.6584489856032185,0.6713310300861477,1671.0,0.07850925527547725,0.012882044482929178
9,0.6612374935311368,0.016596902483940735,5.0,0.02,0.3686703320253147,0.592150161062168,0.6795023502588897,0.6491251109541178,1879.9,0.22347982903685332,0.030377239304771875
10,0.6593345696049682,0.024401634480457065,10.0,0.05,0.41251087856883367,0.5982097104339255,0.668462185211384,0.6533381224591083,1730.6,0.18569883186509178,0.015124062752275735
11,0.6655896009430166,0.018550526107491812,15.0,0.05,0.5073122259372275,0.6007522181826971,0.6738994686841094,0.6599175698509565,1679.6,0.09343999224546962,0.013981898833152928
12,0.6733583462710598,0.015005927321040669,20.0,0.05,0.5284976121149632,0.6428596002865761,0.6712033988011981,0.6750637189808362,1652.3,0.11436198817161292,0.0038603201796381104
13,0.6726032861825082,0.015780234869389186,30.0,0.05,0.5256049982467396,0.645293178136267,0.6707317006879905,0.6742073182371053,1649.2,0.1196881798895274,0.003475617549114851
14,0.6612374935311368,0.016596902483940735,5.0,0.05,0.3686703320253147,0.592150161062168,0.6795023502588897,0.6491251109541178,1835.1,0.22347982903685332,0.030377239304771875
15,0.6655971479500892,0.020176632129185683,10.0,0.1,0.44465357526625243,0.6324009812520737,0.676896451357243,0.6580713674481158,1692.7,0.18774740598582124,0.018825083909127183
16,0.6733651745155541,0.021008971709130648,15.0,0.1,0.43544843039092074,0.6289601452164192,0.6779487532897714,0.6703087455172925,1648.8,0.19351171482549845,0.007640007772478974
17,0.6786707204876086,0.019447101366167435,20.0,0.1,0.47648235451689464,0.6574206457965082,0.6803293841977403,0.6777069433246439,1625.4,0.18093829127961353,0.0026224408730963766
18,0.67525623885918,0.015867908407534645,30.0,0.1,0.499893312379072,0.6570737996601884,0.6721763074042301,0.6776741974327648,1624.1,0.15718048728111644,0.005497890028534735
19,0.6614268874705307,0.016668428468680847,5.0,0.1,0.3741051146340103,0.5988986273198367,0.6772801280366675,0.6511053089739198,1760.4,0.22479351268582637,0.026174819062747656
20,0.6667295583922719,0.01967256500581015,10.0,0.5,0.3819198723862956,0.6129287440899553,0.6836216572149934,0.6554142304535764,1562.3,0.23100887170365975,0.028207426761416965
21,0.6754467109424416,0.020374238863957936,15.0,0.5,0.4026738145766412,0.6420800433553409,0.6841233593958644,0.6696966111199035,1517.2,0.23940622877869966,0.01442674827596091
22,0.6775322005635098,0.02132015195107846,20.0,0.5,0.42246344103153255,0.6552344150573155,0.6865365498127443,0.6716724618515594,1511.0,0.23277097402578295,0.01486408796118488
23,0.6775322005635098,0.02132015195107846,30.0,0.5,0.42246344103153255,0.6552344150573155,0.6865365498127443,0.6716724618515594,1511.0,0.23277097402578295,0.01486408796118488
24,0.6657847449830372,0.016030173797233215,5.0,0.5,0.4010848997531654,0.6290863124417324,0.6786457661788439,0.6572239687857607,1587.6,0.228001412688567,0.021421797393083142
25,0.648540193203381,0.04125111826229121,10.0,0.0,0.39894346108550116,0.5239097439053122,0.6731883811347135,0.6323858523334345,1940.7,0.12496628281981104,0.04080252880127899
