,accuracy,accuracy_std,accuracy_train,complexity,complexity_final,epsilon,eqOpTrue_train,eqOpFalse_train,accTrue_train,accFalse_train,eqOpTrue,eqOpFalse,accTrue,accFalse,hamming,hamming_pos,hamming_neg,hamming_tr,hamming_pos_tr,hamming_neg_tr,hamming_True,hamming_pos_True,hamming_neg_True,hamming_tr_True,hamming_pos_tr_True,hamming_neg_tr_True,hamming_False,hamming_pos_False,hamming_neg_False,hamming_tr_False,hamming_pos_tr_False,hamming_neg_tr_False,hamGap_std,hamGap_pos_std,hamGap_neg_std,ip,eps_test,acc_diff,eps_train,acc_diff_train
0,0.786036036036036,0.002681367906164761,0.7895580958880736,100.0,99.66666666666667,0.01,0.14533120642273728,0.14556527321152501,0.7335051463572223,0.9031126585890705,0.13534317638626192,0.1280581374316605,0.7336137740710081,0.8905770588785833,0.21406633906633907,0.8664085632561155,0.008485999245968509,0.21052152647443553,0.8546290931697721,0.006068961292558583,0.2663862259289918,0.8646568236137381,0.010305457476087672,0.26659676278371597,0.8546687935772628,0.006809569290982751,0.10972597142444691,0.8719418625683395,0.005562004078817758,0.09692179090796692,0.854434726788475,0.004902440099415258,0.01987332796803967,0.014758095475832608,0.0013995420090549694,6169.333333333333,0.007285038954601419,0.15696328480757515,0.00023406678878773457,0.16960751223184822
1,0.786957411957412,0.002704718430307715,0.7899789569470511,110.0,109.0,0.01,0.14716098945422332,0.14402105374673027,0.7339127785964165,0.9035606979684895,0.13989552843482034,0.1368300672562219,0.73469638287491,0.8911831194846439,0.21345208845208843,0.8612339190129074,0.009291314488572358,0.2102144116476142,0.8533081981150166,0.0060839553693521516,0.2657674390174833,0.8601044715651797,0.01141427779269529,0.2663419310389896,0.8528390105457766,0.007249798166628087,0.1091199108183863,0.863169932743778,0.005900070339804911,0.09650821883630632,0.8559789462532698,0.004243859148419089,0.01954887797887916,0.018339976203130593,0.0007177687823559289,6160.333333333333,0.003065461178598433,0.1564867366097339,0.0031399357074930467,0.16964791937207302
2,0.7861384111384111,0.003012682016699871,0.7885571290451003,60.0,59.666666666666664,0.01,0.14073437286627508,0.14205775567491932,0.7321632557929241,0.9028030317109813,0.13275176376672973,0.12322696587255744,0.7337706321602765,0.8905665112574995,0.21396396396396397,0.8693932978197975,0.007411474198122235,0.21151111869419326,0.8590642991735212,0.005964016913079707,0.26622936783972345,0.8672482362332703,0.008992892742244317,0.2679216716712435,0.8592656271337248,0.006687020271374908,0.10973651904553076,0.8767730341274427,0.0048759907057916345,0.09723141778605608,0.8579422443250806,0.0048252259846750835,0.020305472786603967,0.014687571252274373,0.0011004486705606489,6198.333333333333,0.009524797894172293,0.15679587909722303,0.0013233828086442467,0.17063977591805723
3,0.7858312858312858,0.0029064434002003324,0.7889779901040779,70.0,69.66666666666667,0.01,0.14272858410550718,0.14270445952780844,0.7327578017188787,0.9028719128943347,0.13275176376672973,0.12566005589688833,0.7334617752869983,0.8902634809544692,0.2142710892710893,0.868960397386897,0.00794813502297284,0.21110163225843145,0.8572713054542817,0.005994001021502242,0.26653822471300154,0.8672482362332703,0.009433710386841246,0.2673441074220595,0.8572714158944928,0.006736039879218046,0.11003954934856104,0.8743399441031117,0.005562004078817758,0.09716253660270265,0.8572955404721916,0.0048252259846750835,0.020006734476405323,0.01809731686523043,0.0012729037970498902,6186.333333333333,0.007091707869841396,0.15680170566747087,2.4124577698736438e-05,0.17011411117545594
4,0.7871621621621622,0.003510734684578705,0.7893192288005461,80.0,79.66666666666667,0.01,0.144279770326591,0.14146693570877833,0.7330295874109449,0.9033543238380614,0.13835730170259725,0.13443198572144974,0.7350097413317961,0.8911725718635601,0.21324733824733824,0.8629199522778879,0.008486485253960424,0.21086276517090372,0.8561390940694128,0.006038979206718348,0.2654540805605973,0.8616426982974028,0.010319009886318254,0.2672081405476905,0.855720229673409,0.007225288362706518,0.10913045843947015,0.8655680142785503,0.005562004078817758,0.09671459296673457,0.8585330642912217,0.004166645033678914,0.020039987097328082,0.019685391564747433,0.0013520938642352918,6179.333333333333,0.003925315981147509,0.15616283053176405,0.002812834617812676,0.17032473642711643
5,0.787059787059787,0.0032244094488173007,0.7896263436273673,90.0,90.0,0.01,0.14544250146908264,0.14402043855897495,0.7333862364591996,0.903560811522662,0.1388838946462518,0.13443198572144974,0.7348528832425275,0.8911725718635601,0.21334971334971334,0.8624870518449875,0.008753288262912716,0.21056702496729796,0.8547711381459856,0.0060839553693521516,0.2656109386498657,0.8611161053537483,0.010760680790708901,0.26686847317620654,0.8545574985309173,0.007249798166628087,0.10913045843947015,0.8655680142785503,0.005562004078817758,0.09650810528213395,0.8559795614410249,0.004243859148419089,0.0202880575615077,0.018949587737421683,0.0006133198275453337,6170.666666666667,0.004451908924802073,0.15631968862103263,0.0014220629101076854,0.17017457506346234
6,0.8171580671580672,0.006659891878497398,0.8207814366149121,100.0,99.0,0.05,0.34843975701097313,0.3305887497004931,0.7750071065046641,0.913507974580806,0.3372735910042903,0.3279034858935748,0.7748505676086586,0.9016806800462517,0.18468468468468469,0.664329587935498,0.03338539712291211,0.1807882613888415,0.6542447619803422,0.030509698180298916,0.22760606718344112,0.6627264089957098,0.04148856773155419,0.22699777490274123,0.6515602429890269,0.039436461919386455,0.09892538055980886,0.6720965141064251,0.020426730125561787,0.08718019598016824,0.669411250299507,0.016446754454891008,0.011865334280314773,0.02544398710164835,0.01265517255238942,5298.0,0.009370105110715454,0.12683011243759312,0.017851007310480005,0.13850086807614193
7,0.8170556920556921,0.006390043625850643,0.8210544275720867,110.0,109.33333333333333,0.05,0.3498248387831296,0.3302706976310015,0.7753468657135579,0.9136454497171597,0.33879104168714297,0.32839437247743103,0.774540175386878,0.9019850940492958,0.18478705978705978,0.6630511163635696,0.033923423348571756,0.18056076892452935,0.653111406112385,0.030569609828437053,0.22775924359430247,0.661208958312857,0.042355797350723756,0.2266920154259371,0.6501751612168705,0.039608063000601636,0.09892399685979499,0.6716056275225689,0.020406968423458155,0.08711163764861062,0.6697293023689985,0.016330933282780746,0.009797570283665047,0.024123410011984783,0.010772655599035537,5291.333333333333,0.01039666920971194,0.1274449186624178,0.019554141152128113,0.13829858400360173
8,0.8168509418509419,0.006878205172907775,0.8191321162486492,60.0,59.0,0.05,0.33878438676388023,0.3338123999670051,0.772764477036631,0.9130610974158947,0.3290558643995202,0.327538967673345,0.7734563889561246,0.9034663572801951,0.18478705978705978,0.6716062275332378,0.03123449561841861,0.1824717056247512,0.6619409618682695,0.030284938594872968,0.22853642394358178,0.6709441356004797,0.03927885760759068,0.2292403835083817,0.6612156132361199,0.03840862832230175,0.09744411732890966,0.672461032326655,0.01834196985098754,0.0877299852302235,0.6661876000329948,0.017490693420146204,0.010286423917511434,0.022009603493457507,0.007406007447637177,5347.333333333333,0.0015168967261752209,0.13000996832407052,0.004971986796875105,0.14029662037926371
9,0.8175675675675675,0.007388050185368003,0.8197690951487232,70.0,70.0,0.05,0.3451068921962601,0.31880827965314734,0.774055203538928,0.9123711478684186,0.33990655572256295,0.31337496272670684,0.77546567284176,0.901651804583028,0.18396805896805898,0.664718599981077,0.0323105480697379,0.18188022521753966,0.6588246567423469,0.030494655625127615,0.2265271400579463,0.660093444277437,0.04104042166639097,0.2280685027961282,0.6548931078037399,0.03951000710288852,0.09895425602303269,0.6866250372732932,0.018361731553091173,0.08831658628658755,0.6811917203468526,0.016289751827722618,0.011057186109892926,0.03548936723855118,0.008112853603194982,5330.0,0.026531592995856113,0.12618613174126792,0.026298612543112776,0.13831594432949057
