,accuracy,accuracy_std,complexity,epsilon,eqOpTrue,eqOpFalse,accTrue,accFalse,ip
0,0.6333333333333333,0.10943175335329004,10,0.01,0.42216117216117216,0.6189600840336135,0.685,0.5773809523809523,117.75
1,0.7055555555555555,0.05527707983925669,15,0.01,0.4282661782661783,0.5164565826330532,0.7379761904761903,0.6726190476190476,100.0
2,0.7333333333333333,0.07200822998230955,20,0.01,0.5381562881562881,0.5741421568627452,0.7811309523809524,0.6821428571428572,85.0
3,0.7055555555555556,0.06358623967921999,30,0.01,0.5659340659340659,0.6411064425770309,0.7502976190476189,0.6556547619047619,63.5
4,0.5777777777777777,0.06666666666666668,5,0.01,0.33943833943833945,0.25971638655462187,0.6541666666666667,0.49851190476190477,143.0
5,0.6388888888888888,0.11902380714238084,10,0.05,0.45787545787545786,0.6502100840336135,0.685,0.5892857142857143,113.75
6,0.6722222222222223,0.07915448249319448,15,0.05,0.5076312576312576,0.4392507002801121,0.7007738095238094,0.6383928571428571,98.0
7,0.7444444444444445,0.08089010988089465,20,0.05,0.6294261294261294,0.7395833333333334,0.733095238095238,0.7491071428571429,83.5
8,0.7055555555555555,0.061614091702274526,30,0.05,0.5659340659340659,0.6306897759103641,0.7502976190476189,0.65625,63.5
9,0.5777777777777777,0.06666666666666668,5,0.05,0.33943833943833945,0.25971638655462187,0.6541666666666667,0.49851190476190477,141.0
10,0.5888888888888889,0.033333333333333354,10,0.1,0.3507326007326007,0.5877100840336135,0.6016666666666667,0.5773809523809523,111.0
11,0.6777777777777778,0.05555555555555556,15,0.1,0.4282661782661783,0.4539565826330532,0.7245833333333334,0.6264880952380952,97.0
12,0.7222222222222223,0.05983516452371671,20,0.1,0.557997557997558,0.6495098039215687,0.7226785714285715,0.7148809523809524,83.25
13,0.7166666666666667,0.07915448249319448,30,0.1,0.5103785103785103,0.6187850140056023,0.746904761904762,0.6794642857142856,62.25
14,0.5777777777777777,0.06666666666666668,5,0.1,0.33943833943833945,0.25971638655462187,0.6541666666666667,0.49851190476190477,139.0
15,0.6222222222222222,0.07856742013183861,10,0.5,0.39438339438339437,0.5711659663865546,0.6522619047619048,0.5863095238095238,105.5
16,0.6555555555555556,0.07286042804780002,15,0.5,0.41422466422466425,0.6530112044817927,0.685,0.6264880952380952,94.75
17,0.6833333333333333,0.0691661088777152,20,0.5,0.4447496947496947,0.5906862745098039,0.7164880952380953,0.6482142857142856,82.0
18,0.7055555555555556,0.06549903401417555,30,0.5,0.5103785103785103,0.5875350140056023,0.746904761904762,0.6556547619047619,61.5
19,0.6055555555555555,0.09212846639876109,5,0.5,0.16544566544566544,0.5014005602240896,0.6303571428571428,0.5764880952380952,127.75
20,0.5333333333333333,0.06666666666666667,10,0,0.2039072039072039,0.28125,0.5774404761904762,0.4895833333333333,137.75
21,0.6388888888888888,0.13182011686338524,15,0,0.39652014652014655,0.33630952380952384,0.7007738095238094,0.5758928571428572,126.0
22,0.6222222222222222,0.1286204100310025,20,0,0.3977411477411477,0.4360119047619047,0.6607738095238095,0.5883928571428572,117.0
23,0.6555555555555556,0.17391639824998364,30,0,0.4072039072039072,0.5282738095238095,0.7220238095238094,0.587202380952381,111.0
24,0.5555555555555556,0.08314794192830981,5,0,0.1105006105006105,0.17822128851540614,0.6203571428571428,0.48601190476190476,177.5
25,0.6222222222222222,0.07856742013183861,10,1,0.39438339438339437,0.5711659663865546,0.6522619047619048,0.5863095238095238,105.5
26,0.6611111111111111,0.06916610887771518,15,1,0.38644688644688646,0.6677170868347339,0.6730952380952381,0.6473214285714286,94.75
27,0.6833333333333333,0.0691661088777152,20,1,0.4447496947496947,0.5906862745098039,0.7164880952380953,0.6482142857142856,82.0
28,0.7055555555555556,0.06549903401417555,30,1,0.5103785103785103,0.5875350140056023,0.746904761904762,0.6556547619047619,61.5
29,0.6166666666666667,0.10815512407739881,5,1,0.20115995115995114,0.5326505602240896,0.6407738095238095,0.588392857142857,127.75
