,accuracy,accuracy_std,accuracy_train,complexity,complexity_final,epsilon,eqOpTrue_train,eqOpFalse_train,accTrue_train,accFalse_train,eqOpTrue,eqOpFalse,accTrue,accFalse,hamming,hamming_pos,hamming_neg,hamming_tr,hamming_pos_tr,hamming_neg_tr,hamming_True,hamming_pos_True,hamming_neg_True,hamming_tr_True,hamming_pos_tr_True,hamming_neg_tr_True,hamming_False,hamming_pos_False,hamming_neg_False,hamming_tr_False,hamming_pos_tr_False,hamming_neg_tr_False,ip,eps_test,acc_diff,eps_train,acc_diff_train
0,0.5401694842159739,0.016823624761291425,0.5401457643266236,10.0,7.7,0.01,0.019172584366498997,0.03030599106306716,0.614625657307834,0.49081394954561136,0.02161920088212984,0.030505909200545855,0.6160004771119347,0.48986208851588814,0.45983051578402623,0.9719106003370876,0.005024750403952041,0.45985423567337624,0.9733739837907859,0.003658009362045061,0.3839995228880652,0.9783807991178701,0.0030549104887856783,0.385374342692166,0.980827415633501,0.003298199896513463,0.5101379114841118,0.969494090799454,0.006683510301666423,0.5091860504543886,0.9696940089369328,0.0039621213696436645,2187.9,0.008886708318416016,0.1261383885960466,0.011133406696568163,0.12381170776222267
1,0.5418736702892301,0.016844775027009932,0.5427982718319689,15.0,12.6,0.01,0.029884973347016158,0.034385652988226864,0.6180631070940132,0.4929511049128896,0.027962416801748546,0.033600137347796266,0.6179559524725617,0.4915103280379648,0.45812632971077,0.967827925631904,0.0053604489385942365,0.45720172816803106,0.9671072716912507,0.004213886854368901,0.3820440475274383,0.9720375831982515,0.0036562512072224156,0.38193689290598676,0.9701150266529839,0.004510474858324409,0.5084896719620352,0.9663998626522037,0.006607352061767968,0.5070488950871103,0.9656143470117732,0.0039625507363974756,2172.3,0.00563772054604772,0.12644562443459695,0.0045006796412107065,0.12511200218112362
2,0.5424418521074118,0.017136397125144986,0.5447139682504514,20.0,18.2,0.01,0.035006053826926745,0.03812685186345581,0.6200701202808635,0.49480485916787476,0.029979937151162882,0.03724384638745236,0.6174234509376749,0.49278471145395075,0.4575581478925882,0.9645374023945912,0.007112876571294853,0.45528603174954857,0.9629044123066374,0.004333267029453479,0.3825765490623251,0.9700200628488371,0.005891145164805448,0.3799298797191364,0.9649939461730732,0.004510794250988186,0.5072152885460491,0.9627561536125475,0.007977215075466598,0.5051951408321251,0.9618731481365442,0.004183629016395178,2163.6,0.0072639092362894765,0.12463873948372417,0.0031207980365290655,0.12526526111298875
3,0.5608188143292507,0.012340772084766171,0.5677866465785596,10.0,9.4,0.05,0.06812033511046123,0.12538983424462857,0.6251758497460316,0.5297509843934846,0.056018467388699825,0.11827375479154292,0.616724972498035,0.52406926235848,0.4391811856707493,0.9025274748564425,0.027916778138055397,0.43221335342144035,0.8934940188837539,0.022420389574755874,0.38327502750196496,0.9439815326113002,0.022964996142136315,0.3748241502539684,0.931879664889539,0.017418013752559386,0.4759307376415201,0.881726245208457,0.03185746380498411,0.47024901560651544,0.8746101657553714,0.02663410436233595,2068.0,0.0622552874028431,0.09265571013955509,0.057269499134167345,0.09542486535254702
4,0.5613873555287217,0.012637138055394825,0.5698076726229381,15.0,11.4,0.05,0.07571426251439543,0.12827877367494503,0.6286120980886005,0.5308365234704743,0.05622095883960358,0.12282943099149332,0.6159486408344096,0.5255449591188881,0.43861264447127823,0.8994549819178295,0.02969848458576326,0.4301923273770619,0.8890573176331831,0.02253910581478334,0.38405135916559036,0.9437790411603965,0.024411923766849506,0.3713879019113994,0.9242857374856046,0.01664552945268253,0.47445504088111196,0.8771705690085068,0.03383893149754637,0.4691634765295257,0.871721226325055,0.02751688467751664,2052.4,0.06660847215188974,0.09040368171552149,0.052564511160549596,0.09777557461812625
5,0.5640395894428153,0.016051081500479455,0.5723759784643676,20.0,18.9,0.05,0.08903007713140794,0.13084900444296188,0.6343782237357252,0.5313007023731183,0.06790394893708832,0.12911073693514025,0.6200676974003272,0.5273736050177728,0.43652859237536656,0.8914733070168992,0.03258994399029425,0.4281503373251061,0.8829785678134534,0.024086966585892645,0.37993230259967276,0.9320960510629117,0.024980653595473336,0.3660426074057793,0.9109699228685921,0.016398576361998773,0.4735466403810003,0.8708892630648599,0.03846691584066751,0.46929603522291663,0.869150995557038,0.030601424713819336,2036.4,0.06120678799805193,0.09269409238255444,0.04181892731155394,0.10307752136260684
6,0.589238686677017,0.01807256088147647,0.5939960562319291,10.0,9.4,0.1,0.11638162088277097,0.21785649297985551,0.6386362532269453,0.5643943865589136,0.12019053731199043,0.20908775170534577,0.6375168545591652,0.5575371075350619,0.4109507072623771,0.8197850044606101,0.04804789880670137,0.40602499639964995,0.8156841961138174,0.04209886238292666,0.3624831454408347,0.8798094626880095,0.030951143317440522,0.36136374677305455,0.8836183791172291,0.026271270133546576,0.4427696409311957,0.7909122482946541,0.06207438819531321,0.4356404687913826,0.7821435070201443,0.05548216196454936,1954.6,0.08889721439335534,0.07997974702410326,0.10147487209708454,0.07424186666803168
7,0.5962502156287736,0.016737571835372896,0.6003957327543231,15.0,13.2,0.1,0.1262888762262519,0.2378639116262377,0.641130301361858,0.5733974866250497,0.12428894776755059,0.23540562800327786,0.6388138611670875,0.568178153544033,0.4039391783106205,0.8011126477795052,0.051247190848787816,0.39966742070921357,0.799031186458421,0.04488184099328329,0.3611861388329127,0.8757110522324494,0.03087221192703372,0.358869698638142,0.8737111237737482,0.028532640484819342,0.4321285949222246,0.7645943719967221,0.06798758935130947,0.42670778910764584,0.7621360883737623,0.0587183936046181,1917.1,0.11111668023572727,0.07063570762305449,0.11157503539998581,0.06773281473680826
8,0.6034500603760565,0.012361116391334243,0.6045640740453535,20.0,19.1,0.1,0.14674362004848843,0.24431175289120777,0.64722171675195,0.57632223690214,0.14162567606007792,0.24853403499218593,0.6429829244060741,0.5769674583887817,0.3982544850784889,0.7860777046442677,0.05467901090364698,0.39602539963885725,0.7880240228495282,0.047727262995558885,0.357017075593926,0.8583743239399221,0.03579085622042889,0.3534621714530136,0.8532563799515117,0.03267851909498206,0.4257709010197252,0.751465965007814,0.07016893868933184,0.42420481861437437,0.7556882471087922,0.060472862274056606,1894.3,0.10690835893210801,0.06601546601729236,0.09756813284271934,0.07089947984980993
9,0.6637014116497039,0.01175365683859433,0.6684142152898558,10.0,9.2,0.5,0.32645028427801376,0.5638388194326404,0.6781274851213067,0.6619617802610346,0.30302862936675334,0.5621563602866215,0.6714008017625236,0.657964783506041,0.33705616410787187,0.5233278518881128,0.1722736801776948,0.33240683734172305,0.5147096489555515,0.17046347795576078,0.330025534435576,0.6969713706332465,0.09470366712652045,0.32255945103627115,0.6735497157219863,0.09731940117729634,0.34235067390720814,0.43784363971337853,0.23829618489719526,0.3389480448306536,0.4361611805673597,0.23234827264345254,1578.3,0.2591277309198682,0.013436018256482551,0.2373885351546266,0.016165704860272134
