,accuracy,accuracy_std,accuracy_train,complexity,complexity_final,epsilon,eqOpTrue_train,eqOpFalse_train,accTrue_train,accFalse_train,eqOpTrue,eqOpFalse,epsOpTrue_std,epsOpFalse_std,eps_test_std,accTrue,accFalse,ip,eps_test,acc_diff,eps_train,acc_diff_train
2,0.6640726525214191,0.01866521198831298,0.6685822375344803,15.0,14.6,0.1,0.5100176451822266,0.5933566767015667,0.6821918651422763,0.6595669089652509,0.501534942167048,0.5953107258978447,0.07759942120925807,0.05798278376357871,0.0625038541071893,0.6743254825203723,0.6575564271641039,1575.2,0.09377578373079676,0.01676905535626838,0.08333903151934008,0.022624956177025313
3,0.681883229831522,0.014544872453788611,0.6889603695620867,20.0,19.2000000998,0.5,0.446083888172817,0.674167066591209,0.6990939448982492,0.6822397555284797,0.4363817707652494,0.6565875066864948,0.040590794242190815,0.044597107457003377,0.042734375388152,0.692430677139308,0.6747284678013894,1478.2,0.22020573592124537,0.01770220933791855,0.22808317841839193,0.016854189369769457
4,0.6572515956529239,0.02088767520535667,0.6592140336106526,10.0,9.2,0.1,0.4994787688993908,0.5733589897890352,0.6715187367494628,0.6510247180869576,0.4805393956328821,0.5694265001165234,0.055879406407947606,0.06573733443650046,0.06608006485381354,0.6687449437198697,0.64996045178163,1620.5,0.08888710448364129,0.018784491938239722,0.07388022088964441,0.02049401866250522
5,0.662368825829452,0.015389899583934198,0.6705612114901018,20.0,19.0,0.05,0.559004896697329,0.6031038383126488,0.6798637110805347,0.6643949956860453,0.524842750199223,0.6025243921256791,0.05273628450640789,0.07402328046080921,0.04887126066446416,0.6645166532660847,0.6608658066343132,1573.8,0.0776816419264561,0.0036508466317715094,0.0440989416153198,0.015468715394489352
6,0.6475907078373871,0.018729967708000502,0.6598037022676667,15.0,14.6,0.01,0.5516658389972775,0.5532537010311591,0.6671577770512284,0.6549420814688287,0.5245782848390632,0.5354116627117821,0.05431935071150169,0.0639915666250443,0.024543253981720133,0.659336577475432,0.6400110063175172,1636.1,0.010833377872718875,0.019325571157914778,0.0015878620338816152,0.012215695582399655
7,0.6388782272439768,0.02065482548332044,0.6508356800230422,10.0,9.8,0.01,0.5455652178203176,0.5464578359229929,0.6611846061140454,0.6439968983792455,0.5101839946925985,0.5345098544574817,0.10889214491280391,0.10802291916906483,0.028627711060744233,0.6357446048406549,0.6409172403569173,1710.0,0.024325859764883218,0.005172635516262458,0.0008926181026752689,0.01718770773479994
8,0.6585791501351274,0.014657053411671223,0.6636984568345723,15.0,14.7,0.05,0.518845092198539,0.5472655509939149,0.6813441226171776,0.6519950902848832,0.5085139062700053,0.5506699469497842,0.044308577230407376,0.04463863325427601,0.03296912092041635,0.6770601425524873,0.6464955196008816,1606.8,0.04215604067977896,0.03056462295160567,0.028420458795375914,0.029349032332294356
9,0.6536531108044391,0.02008509276002817,0.6663086064983549,20.0,19.7,0.01,0.5647025893744877,0.5653570948689557,0.6737353243738824,0.6613933493177668,0.5218507001821278,0.5585276217221399,0.056717494093388096,0.07405893595347099,0.030091314172230307,0.6553953100022265,0.6523263493114337,1599.2,0.03667692154001212,0.003068960690792766,0.000654505494467994,0.012341975056115562
10,0.6466462538094417,0.021736019960989495,0.6540775460013959,10.0,9.7,0.05,0.5180911839506857,0.5251875227460349,0.6702887734052532,0.6433112758160258,0.4954036903362698,0.5155487498116882,0.08150540989409746,0.07240714562718234,0.03574835444583321,0.6651141569679917,0.6347606047581907,1675.2,0.020145059475418392,0.03035355220980096,0.007096338795349211,0.026977497589227406
11,0.5604468546949571,0.04301354909448069,0.5579337535588075,15.0,4.3,0.0,0.11168478260869566,0.11168478260869566,0.6236644002925104,0.5144407487012298,0.11988088485536016,0.11640073994373364,0.1900328491300137,0.18331992317185458,0.012336490779155444,0.6274626477963854,0.5160241242133419,2103.0,0.0034801449116265287,0.11143852358304351,0.0,0.10922365159128056
12,0.6771411937208901,0.02241233626081399,0.6844341955710155,15.0,14.7,1.0,0.4157279472050955,0.6554603208940003,0.694081097153815,0.6780436647425492,0.4026294934201221,0.6477786088863801,0.04463781195510381,0.041137496538946744,0.05282884661600913,0.6831474315837652,0.6729363663374816,1499.2,0.24514911546625795,0.01021106524628368,0.23973237368890482,0.016037432411265873
13,0.6650217785061239,0.013600731691274334,0.6755714497778861,20.0,19.6,0.1,0.532708046893934,0.6256940158735352,0.684092619057557,0.6699232374512974,0.5123604739068444,0.6186754006251203,0.059198870300214854,0.05895823728871396,0.061424543613209356,0.6720108351135551,0.6605989862062805,1545.9,0.10631492671827592,0.011411848907274535,0.09298596897960121,0.014169381606259579
14,0.6771411937208901,0.02241233626081399,0.6844341955710155,15.0,14.7,0.5,0.4157279472050955,0.6554603208940003,0.694081097153815,0.6780436647425492,0.4026294934201221,0.6477786088863801,0.04463781195510381,0.041137496538946744,0.05282884661600913,0.6831474315837652,0.6729363663374816,1499.2,0.24514911546625795,0.01021106524628368,0.23973237368890482,0.016037432411265873
15,0.6767606089356564,0.02114101596595011,0.6781818431576732,10.0,9.2,0.5,0.4006078387864315,0.6406835867220144,0.6923402920306156,0.6688030560186885,0.3990164712086937,0.6381022380389814,0.038422647376304034,0.046832578215245974,0.04153979419993071,0.6913837449763859,0.6669028704827232,1528.7,0.23908576683028765,0.024480874493662652,0.2400757479355829,0.023537236011927143
16,0.5295551578402622,0.016289158897624893,0.5295566318448193,10.0,0.0,0.0,0.0,0.0,0.6091258874783121,0.4768553055776038,0.0,0.0,0.0,0.0,0.0,0.6088289256508108,0.4772809997947919,2234.7,0.0,0.13154792585601893,0.0,0.13227058190070828
17,0.6767606089356564,0.02114101596595011,0.6781818431576732,10.0,9.2,1.0,0.4006078387864315,0.6406835867220144,0.6923402920306156,0.6688030560186885,0.3990164712086937,0.6381022380389814,0.038422647376304034,0.046832578215245974,0.04153979419993071,0.6913837449763859,0.6669028704827232,1528.7,0.23908576683028765,0.024480874493662652,0.2400757479355829,0.023537236011927143
