,accuracy,accuracy_std,accuracy_train,complexity,complexity_final,epsilon,eqOpTrue_train,eqOpFalse_train,accTrue_train,accFalse_train,eqOpTrue,eqOpFalse,epsOpTrue_std,epsOpFalse_std,eps_test_std,accTrue,accFalse,ip,eps_test,acc_diff,eps_train,acc_diff_train
0,0.5367510493933644,0.020576766162726468,0.5399982408135683,10.0,7.9,0.01,0.020547834759120857,0.029371548199530962,0.6148344957851052,0.49043014925837036,0.014958606914430208,0.023079930596320557,0.01249993092896229,0.009502296720459139,0.01193919343354524,0.6119103180924071,0.4870097855793779,2187.8,0.00812132368189035,0.12490053251302924,0.008823713440410105,0.12440434652673482
1,0.5405414438502675,0.019083501396621193,0.5424823449910823,15.0,12.2,0.01,0.02757197740312651,0.03440026254255733,0.617158986586842,0.4930186716523128,0.019797976990234393,0.0361273945363751,0.010563421612394973,0.013160864383090064,0.013253602797849534,0.6124342891497637,0.49302658871473837,2174.4,0.016329417546140704,0.11940770043502535,0.0068282851394308244,0.1241403149345292
2,0.5647953682939452,0.01875526124645818,0.5742704627280684,20.0,19.6,0.05,0.09198824675435105,0.1345663913491635,0.6358081032813232,0.5335100602573977,0.07970761015358008,0.12465786035959558,0.03495678554822435,0.02736617509437176,0.043495120611393774,0.6266711306812383,0.5238589195713346,2031.3,0.04495025020601551,0.10281221110990368,0.04257814459481246,0.10229804302392553
3,0.5308780403657065,0.020391595708866894,0.5306723194009018,10.0,2.4,0.0,0.0024321651465461745,0.0023371429865432455,0.610077111839364,0.47807817008065523,0.0023411829134720704,0.0030190962883270577,0.004684867192470155,0.004763780776710989,0.0036207264227628697,0.6099648633614875,0.47849656011716996,2233.2,0.0006779133748549874,0.13146830324431752,9.502216000292904e-05,0.13199894175870874
4,0.6595268385946753,0.014820096394081609,0.6681824059200834,10.0,9.3,1.0,0.3500477766129679,0.5762295783242266,0.6813436191889772,0.6594581613557156,0.3480164094075554,0.5638826167189019,0.10039341467012336,0.0679725547301407,0.07655002950901753,0.6781571579356342,0.6472505037431386,1576.2,0.21586620731134654,0.03090665419249561,0.22618180171125873,0.02188545783326168
5,0.5928346558564775,0.01274521893359999,0.5993010933986197,15.0,12.6,0.1,0.13330993663091587,0.229946938471378,0.6447444215110111,0.5692035221389371,0.1340381135940116,0.22431897931435932,0.03232860813337772,0.024428182107221738,0.04340811503537323,0.6418490918688671,0.5603952524723804,1908.9,0.09028086572034771,0.08145383939648665,0.09663700184046214,0.07554089937207398
6,0.6767695934678857,0.016442996325857197,0.6815501357055024,20.0,19.3,0.5,0.38929836287244557,0.620806440710063,0.691967925603943,0.6746508231355898,0.37798988400776945,0.6119332751997593,0.07518779691591,0.03979380765134481,0.06929271575816505,0.6891656156375366,0.6686646644962955,1516.8,0.2339433911919898,0.020500951141241175,0.2315080778376174,0.017317102468353274
7,0.5304992524869185,0.019755578014819405,0.5305670562430069,15.0,3.6,0.0,0.002021074827048383,0.002212798441035787,0.6099176820563169,0.4780094521555521,0.0012048192771084338,0.0023197955890263584,0.0036144578313253013,0.004640784786160714,0.003533376723023058,0.6095040338683999,0.47817501670880985,2232.9,0.0011149763119179246,0.13132901715959006,0.00019172361398740387,0.13190822990076484
8,0.6708969438215169,0.011919359209070859,0.6760135373162437,15.0,14.3,1.0,0.36747143409152294,0.6061542442807231,0.6862662493050851,0.6692264688191546,0.35576144442643,0.6003042567826801,0.09271301535124171,0.05197464982576416,0.06761682500601991,0.6819768159811088,0.6636537150298354,1540.6,0.24454281235625008,0.01832310095127343,0.23868281018920012,0.017039780485930467
9,0.5898011183945718,0.015218389881095352,0.5958697049928546,10.0,8.9,0.1,0.10597006210748885,0.23063009713785254,0.6362903081150056,0.5690988606225827,0.11249067120973351,0.22015867734836725,0.025785374927620796,0.025769775046377102,0.0369330868865283,0.63853450005561,0.5574913650254223,1958.9,0.10766800613863374,0.08104313503018767,0.12466003503036369,0.0671914474924229
10,0.5992783623713416,0.013312266386869831,0.607321166734981,20.0,22.2,0.1,0.15303279408751758,0.25005498076914595,0.6498675388312517,0.5791321543815734,0.14966724589331296,0.24089323788278433,0.03292086303380156,0.03266591829824131,0.04011829279519181,0.6467271279346714,0.5679542065213439,1882.7,0.09122599198947137,0.07877292141332748,0.09702218668162838,0.0707353844496783
11,0.6718439135184866,0.012130614529606547,0.6758030110004543,15.0,14.3,0.5,0.3630133144586144,0.5969769216894668,0.68759160934793,0.6680041090839861,0.3473961651274157,0.5928783493567727,0.08835517242574714,0.04274102130647693,0.07389571029347589,0.6833657048699977,0.6642968018465556,1542.3,0.24548218422935703,0.019068903023442108,0.2339636072308524,0.019587500263943847
12,0.6591462538094417,0.016363243645392628,0.6676350773798314,10.0,9.3,0.5,0.3390796845233866,0.56050021445826,0.6823508456157035,0.6578868955396435,0.33245416041157144,0.5463128301835982,0.0857553074655735,0.06348349736963459,0.07767439444544752,0.678624387838348,0.6462827618076548,1578.8,0.21385866977202678,0.03234162603069324,0.22142052993487343,0.024463950076059948
13,0.6767695934678857,0.016442996325857197,0.6819080304423445,20.0,19.3,1.0,0.39511703675607207,0.6291948158751886,0.6915439722388133,0.6755240330552544,0.3864236189475285,0.6228176289412559,0.08262680413675635,0.04377351861690772,0.06734412500270186,0.6877767267486476,0.6696262029578339,1515.1,0.2363940099937274,0.018150523790813722,0.23407777911911648,0.016019939183558818
14,0.5308780403657065,0.01973001084610203,0.5307144246640596,20.0,4.2,0.0,0.0026962156247905466,0.002346667249603391,0.6101809785281442,0.47807960297982427,0.0012048192771084338,0.0046537640158091555,0.0036144578313253013,0.007638262711724674,0.005277948395601774,0.6095040338683999,0.4787923006594272,2232.6,0.003448944738700722,0.13071173320897272,0.0003495483751871555,0.13210137554831997
15,0.5638440860215054,0.019886389598697894,0.5649656426901816,10.0,8.2,0.05,0.0781162051069203,0.11118761330074156,0.6274098377653898,0.5236030323736693,0.07979016534835157,0.1103899558477958,0.024907151048997645,0.01946164873131677,0.022083820224931484,0.6267813050841162,0.5222038404707343,2067.5,0.030599790499444238,0.10457746461338191,0.03307140819382126,0.10380680539172049
16,0.5405414438502675,0.021270175920324787,0.5446927915452704,20.0,17.8,0.01,0.034457190514261944,0.03818000207184644,0.619796107062439,0.4949423695673133,0.023230309494856057,0.03812601909821357,0.0181095836405979,0.017987371312801596,0.02070280351524364,0.6114942538894119,0.49370270526416365,2163.3,0.014895709603357517,0.11779154862524827,0.003722811557584499,0.12485373749512574
17,0.5630857915013513,0.016878820706439875,0.5730495518948919,15.0,13.8,0.05,0.09525423355211735,0.13095501877724064,0.6357035388474601,0.5315455919601353,0.08347330910046889,0.12445493165615706,0.05476596666741332,0.0473863508357289,0.04601478771490892,0.6279568767981563,0.5200083965488049,2049.5,0.04098162255568817,0.10794848024935133,0.035700785225123294,0.10415794688732483
