,accuracy,accuracy_std,accuracy_train,complexity,complexity_final,epsilon,eqOpTrue_train,eqOpFalse_train,accTrue_train,accFalse_train,eqOpTrue,eqOpFalse,epsOpTrue_std,epsOpFalse_std,eps_test_std,accTrue,accFalse,ip,eps_test,acc_diff,eps_train,acc_diff_train
0,0.8252457002457002,0.0073710073710073765,0.8334925780583518,100.0,99.5,0.01,0.5445860583945727,0.5369401881113219,0.7937721142757046,0.9139617207812534,0.5332627000501868,0.5020262304745063,0.010055948995334463,0.02788829944002358,0.017832350444689116,0.7836178994326508,0.9084642251679977,4938.0,0.031236469575680492,0.12484632573534693,0.007645870283250811,0.12018960650554877
1,0.8278562653562653,0.004760442260442255,0.8337996928851732,110.0,110.0,0.01,0.5375275781587079,0.5312971141972848,0.7935678627894753,0.9152983849186177,0.5318562302892866,0.5106469201296787,0.011462418756234605,0.019267609784851175,0.0078051910286165704,0.7865484675120016,0.9103910074416008,4931.5,0.02120931015960792,0.12384253992959926,0.006230463961423127,0.12173052212914237
2,0.8247850122850122,0.0062960687960687545,0.8318546323153047,60.0,60.0,0.01,0.5238056961366852,0.5204715893085873,0.7918585539972685,0.9128683883339059,0.5180610544186075,0.48482169171824346,0.004699591690056182,0.03654582964927794,0.03184623795922176,0.7833525647883521,0.9075408334865227,4979.0,0.03323936270036404,0.12418826869817057,0.0033341068280978714,0.12100983433663748
3,0.8264742014742015,0.004606879606879555,0.8325541716430643,70.0,69.0,0.01,0.5335485858132898,0.5256429676164357,0.7929564515265136,0.9127731597679198,0.5251243827332602,0.5020999115826702,0.0008953078433924233,0.010720601237842603,0.011615909081235026,0.7851659678813474,0.9090259196470516,4966.0,0.02302447115059003,0.12385995176570419,0.007905618196854092,0.11981670824140622
4,0.8244778869778869,0.006603194103194099,0.8327759767957686,80.0,79.0,0.01,0.5267371068710245,0.5181170974376963,0.7928277411600626,0.9136978489696048,0.5188262483193615,0.48054818744473915,0.006871255351710348,0.032272325375773625,0.025401070024063277,0.7831371130571816,0.9070991373734485,4954.0,0.03827806087462238,0.1239620243162669,0.00862000943332819,0.12087010780954222
5,0.8277027027027027,0.003992628992628977,0.8331684012967071,90.0,89.5,0.01,0.5364214175000086,0.528948380113136,0.7932344125019857,0.9140559473900866,0.5312459339392925,0.5234674329501916,0.016478001449841073,0.032088122605364006,0.007778500989101017,0.7860676811365324,0.9108727030100016,4946.0,0.007778500989100934,0.1248050218734692,0.00747303738687255,0.12082153488810088
6,0.8255528255528255,0.004914004914004899,0.8336120116021157,100.0,100.0,0.05,0.5378493274408899,0.5011781317487904,0.7935408507856807,0.9147796589096956,0.5305426990588424,0.4762746831712349,0.017181236330291172,0.027998821102269367,0.010817584771978195,0.784715111253755,0.9071791362841017,4928.5,0.054268015887607546,0.1224640250303467,0.03667119569209942,0.12123880812401489
7,0.8253992628992629,0.0050675675675675436,0.8339361883637604,110.0,108.5,0.05,0.5399481290259575,0.502589232407304,0.7940003250481695,0.9148310305320114,0.5305426990588424,0.4762746831712349,0.017181236330291172,0.027998821102269367,0.010817584771978195,0.7844896829399588,0.9071791362841017,4922.0,0.054268015887607546,0.12268945334414294,0.03735889661865344,0.1208307054838419
8,0.8257063882063882,0.005374692874692832,0.8323153045555366,60.0,60.0,0.05,0.5370339970035061,0.49223584603146764,0.792419848731116,0.9131322601455543,0.5303878015080825,0.4591069849690539,0.009993989975030482,0.028072502210433253,0.01807851223540277,0.7849604927328024,0.9071791362841017,4968.0,0.07128081653902862,0.1222186435512993,0.04479815097203843,0.12071241141443823
9,0.8269348894348894,0.0041461916461916215,0.8326394813171814,70.0,69.5,0.05,0.5344230712553568,0.48988401160061157,0.7924698431515278,0.9140055777249234,0.5311220158986847,0.46341732979664013,0.010728204365632543,0.023762157382847038,0.013033953017214495,0.7869893475569685,0.9066974407157009,4954.0,0.06770468610204455,0.11970809315873243,0.04453905965474525,0.12153573457339562
10,0.8269348894348895,0.004760442260442255,0.832997781948473,80.0,79.0,0.05,0.5373612249016526,0.4931796801505174,0.7929293174140166,0.9141626984633293,0.5325594651697367,0.46769083407014445,0.010759183875784561,0.028035661656351324,0.017276477780566762,0.7867738958257978,0.9071391368287751,4945.0,0.06486863109959229,0.1203652410029773,0.04418154475113523,0.1212333810493127
11,0.8263206388206388,0.0041461916461916215,0.8335608257976455,90.0,89.0,0.05,0.5422183410520476,0.4988249685979169,0.7936430375831465,0.9144185546177557,0.5347621083415429,0.4762746831712349,0.012961827047590746,0.027998821102269367,0.01503699405467862,0.785842252822736,0.9071791362841017,4936.0,0.05848742517030803,0.12133688346136573,0.04339337245413066,0.1207755170346092
12,0.8255528255528255,0.004914004914004899,0.8336120116021157,100.0,100.0,0.1,0.5378493274408899,0.5011781317487904,0.7935408507856807,0.9147796589096956,0.5305426990588424,0.4762746831712349,0.017181236330291172,0.027998821102269367,0.010817584771978195,0.784715111253755,0.9071791362841017,4928.5,0.054268015887607546,0.1224640250303467,0.03667119569209942,0.12123880812401489
